run	-1	'Willow is running on port 4999'
log	0	u"('paycode', 'itemNo', 'stimNo', 'verb', 'sentence', 'trialVersion', 'prepSentence', 'exposePicture', 'actionPicture', 'word1', 'word2', 'mistakeFlag', 'responseTime')"
take	0	"{'tag': 'click', 'id': 'ConsentButton', 'client': 0}"
add	0	'(body)\n<html>\n<head>\n<link rel="stylesheet" type="text/css" href="exp.css" />\n</head>\n<body>\n\n<h3>Consent Statement</h3>\n<p class="blocktext"> By answering the following questions, you are participating in a study being performed by cognitive scientists in the MIT Department of Brain and Cognitive Science. \nIf you have questions about this research, please contact Edward Gibson at egibson@mit.edu. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. \nYou may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>\n\n<br></br>\n\n<p class="blocktext"><b> This is a SNAZZY POTATO SURVEY.  Please complete only one HIT from this group.  You will not be paid for completing more than one SNAZZY POTATO survey, including those taken from previous HIT groups.</b> </p>\n\n<br></br>\n\n<p class="blocktext"> Click the \'I agree\' button below to go on to the study.</p>\n\n<br></br>\n\n<p class="blocktext"> <center>\n<input type=\'submit\' value=\'I agree\' id=\'ConsentButton\'> </center>\n</p>\n\n</body>\n</html>'
put	0	"{u'time': 1424640220112, u'tag': u'click', u'id': u'ConsentButton', u'client': 0}"
took	0	"{u'client': 0, u'tag': u'click', u'id': u'ConsentButton', u'time': 1424640220112}"
let	0	'(body)'
take	0	"{'tag': 'click', 'id': 'InstructButton', 'client': 0}"
add	0	'(body)\n<html>\n<head>\n<link rel="stylesheet" type="text/css" href="exp.css" />\n</head>\n<body>\n\n\n<h3> Instructions</h3>\n<p class="blocktext"> In this task, you will be talking with Elmo about a series of cartoon pictures.  You can only send two words to Elmo at a time, but you must still try to convey what is happening in each scene.  </p> \n<br></br>\n\n<p class="blocktext"> In each scene, Elmo will see the actors, but will run away and miss the action taking place.  When he returns, your job is to tell him what happened.  </p>\n<br></br>\n\n<p class="blocktext"> Again, you can use only two words to respond.  Your responses will be timed.  </p>\n<br></br>\n\n\n<p class="blocktext"><i> This is a SNAZZY POTATO SURVEY.  Please complete only one HIT from this group.  You will not be paid for completing more than one SNAZZY POTATO survey (including surveys taken in previous HIT groups.)</i> </p>\n\n<br></br>\n\n<p class="blocktext"> Click the button below when you are ready to start viewing the pictures.</p>\n<br></br>\n\n<p class="blocktext"><center>\n<input type=\'submit\' value=\'Ready to start!\' id=\'InstructButton\'></center>\n</p>\n\n</body>\n</html>'
put	0	"{u'time': 1424640228351, u'tag': u'click', u'id': u'InstructButton', u'client': 0}"
took	0	"{u'client': 0, u'tag': u'click', u'id': u'InstructButton', u'time': 1424640228351}"
let	0	'(body)'
take	0	"{'tag': 'PING', 'client': 0}"
put	0	"{'tag': 'PING', 'client': 0}"
took	0	"{'tag': 'PING', 'client': 0}"
let	0	'(body)'
take	0	"{'tag': 'PING', 'client': 0}"
add	0	'(body)\n<html>\n<head>\n<link rel="stylesheet" type="text/css" href="exp.css" />\n</head>\n<body>\n\n<h3>In the next scene, there is some milk, a grandma and some juice.</h3>\n\n</body>\n</html>'
put	0	"{'tag': 'PING', 'client': 0}"
took	0	"{'tag': 'PING', 'client': 0}"
let	0	'(body)'
take	0	"{'tag': 'PING', 'client': 0}"
add	0	'(body)\n<html>\r\n<head>\r\n<link rel="stylesheet" type="text/css" href="exp.css" />\r\n</head>\r\n<body>\r\n\r\n<div>\r\n<img src="http://tedlab.mit.edu/~mekline/SDPictures/DRINK-patient-expose.jpg">\r\n</div>\r\n\r\n<h3> Now let\'s see what happens...</h3>\r\n\r\n<br></br>\r\n\r\n</body>\r\n</html>'
put	0	"{'tag': 'PING', 'client': 0}"
took	0	"{'tag': 'PING', 'client': 0}"
let	0	'(body)'
take	0	"{'tag': 'PING', 'client': 0}"
add	0	'(body)\n<html>\r\n<head>\r\n<link rel="stylesheet" type="text/css" href="exp.css" />\r\n</head>\r\n<body>\r\n\r\n<div>\r\n<img src="http://tedlab.mit.edu/~mekline/SDPictures/DRINK-patient-action.jpg">\r\n</div>\r\n\r\n<h3> The grandma drinks juice. </h3>\r\n<br></br>\r\n\r\n</body>\r\n</html>'
put	0	"{'tag': 'PING', 'client': 0}"
took	0	"{'tag': 'PING', 'client': 0}"
take	0	"{'tag': 'timestamp', 'client': 0}"
let	0	'(body) ...timestamp...'
put	0	"{u'tag': u'timestamp', u'time': 1424640244385, u'client': 0}"
took	0	"{u'tag': u'timestamp', u'client': 0, u'time': 1424640244385}"
let	0	'(body)'
