Source,Word,Condition,pInclude
Human.1,Subject,1_6,0.25
Human.1,Subject,2_5,0.4302326
Human.1,Subject,3_4,0.3902439
Human.1,Subject,4_3,0.5063291
Human.1,Subject,5_2,0.4680851
Human.1,Subject,6_1,0.5955056
Human.1,Object,1_6,0.7826087
Human.1,Object,2_5,0.6860465
Human.1,Object,3_4,0.7439024
Human.1,Object,4_3,0.6202532
Human.1,Object,5_2,0.5744681
Human.1,Object,6_1,0.4157303
Human.1,Verb,1_6,0.75
Human.1,Verb,2_5,0.6627907
Human.1,Verb,3_4,0.6463415
Human.1,Verb,4_3,0.5696203
Human.1,Verb,5_2,0.7553191
Human.1,Verb,6_1,0.7752809
Human.2,Subject,1_6,0.1333333
Human.2,Subject,2_5,0.4166667
Human.2,Subject,3_4,0.49
Human.2,Subject,4_3,0.5242718
Human.2,Subject,5_2,0.5454545
Human.2,Subject,6_1,0.5698925
Human.2,Object,1_6,0.7888889
Human.2,Object,2_5,0.7395833
Human.2,Object,3_4,0.59
Human.2,Object,4_3,0.7087379
Human.2,Object,5_2,0.6022727
Human.2,Object,6_1,0.5268817
Human.2,Verb,1_6,0.8444444
Human.2,Verb,2_5,0.625
Human.2,Verb,3_4,0.59
Human.2,Verb,4_3,0.6213592
Human.2,Verb,5_2,0.6704545
Human.2,Verb,6_1,0.7526882
