Subject #,Video Name,Test Date,Gender,Kid Response A - Prag Choice?,Kid Response B - Prag Choice?,Kid Response C - Prag Choice?,Kid Response D - Prag Choice?
281,subject_drop_060915_01.mpg,6/9/15,M,eat orange,pet dog,grandma roll,girl read
282,subject_drop_060915_02.mpg,6/9/15,F,N/A,girl pet,roll tire,read book
283,subject_drop_060915_03.mpg,6/9/15,F,eat banana,pet dog,baby roll,girl read
284,subejct_drop_060915_04.mpg,6/9/15,F,N/A,N/A,N/A,N/A
285,subject_drop_061315_01.mpg,6/13/15,F,eat banana,pet dog,baby roll,girl read
288,subject_drop_061315_04.mpg,6/13/15,M,eat banana,pet cat,baby roll,boy read
289,subject_drop_061915_01.mpg,6/19/15,F,monkey eat,girl pet,roll ball,read book
290,subject_drop_061915_02.mpg,6/19/15,F,eat orange,pet dog,baby roll,boy read
291,subject_drop_061915_03.mpg,6/19/15,M,monkey eat,girl pet,roll ball,read newspaper
292,subject_drop_062315_01.mpg,6/23/15,M,eat orange,pet dog,baby roll,boy read
293,subject_drop_062315_02.mpg,6/23/15,F,monkey eat,girl pet,roll ball,read newspaper
294,subject_drop_062315_03.mpg,6/23/15,M,eat banana,pet cat,baby roll,boy read
295,subject_drop_062315_04.mpg,6/23/15,F,duck eat,girl pet,roll ball,read book
296,subject_drop_062715_01.mpg,6/27/15,F,eat banana,pet cat,grandma roll,boy read
297,subject_drop-062715_02.mpg,6/27/15,M,monkey eat,girl pet,roll tire,read book
298,subject_drop_063015_01.mpg,6/30/15,F,eat orange,pet dog,grandma roll,boy read
299,subject_drop_063015_02.mpg,6/30/15,M,eat orange,pet dog,baby roll,boy read
300,subject_drop_070715_01.mpg,7/7/15,F,monkey eat,girl pet,roll ball,read book
301,subject_drop_070715_02.mpg,7/7/15,F,eat orange,pet dog,baby roll,boy read
302,subject_drop_070715_03.mpg,7/7/15,M,monkey eat,boy pet,roll tire,read newspaper
303,subject_drop-070715_04.mpg,7/7/15,M,eat banana,pet cat,baby roll,boy read
304,subject_drop_070715_05.mpg,7/7/15,M,N/A,boy pet,roll ball,read newspaper
305,subject_drop_071115_01.mpg,7/11/15,M,eat banana,pet dog,baby roll,boy read
306,subject_drop_071115_02.mpg,7/11/15,F,monkey eat,girl pet,roll ball,read book
307,subject_drop_071115_03.mpg,7/11/15,M,eat orange,pet dog,grandma roll,boy read
309,subject_drop_071215_02.mpg,7/12/15,F,eat orange,pet dog,baby roll,girl read
310,subject_drop_071215_03.mpg,7/12/15,M,N/A,N/A,N/A,N/A
311,subject_drop_071415_01.mpg,7/14/15,M,eat orange,pet dog,baby roll,boy read
312,subject_drop_071415_02.mpg,7/14/15,F,N/A,N/A,N/A,N/A
313,subject_drop_071415_03.mpg,7/14/15,F,eat orange,pet cat,grandma roll,girl read
314,subject_drop_071415_04.mpg,7/14/15,M,monkey eat,girl pet,roll tire,read book
315,subject_drop_071415_05.mpg,7/14/15,M,eat orange,pet dog,baby roll,boy read
